um,degrees
18.36,2.0775
18.4160471976,2.0536
18.4720943953,1.9769
18.5281415929,1.9876
18.5841887906,1.8837
18.6402359882,1.8863
18.6962831858,1.9633
18.7523303835,1.77
18.8083775811,1.7141
18.8644247788,1.8454
18.9204719764,1.7906
18.976519174,1.6895
19.0325663717,1.6194
19.0886135693,1.5767
19.144660767,1.632
19.2007079646,1.534
19.2567551622,1.4411
19.3128023599,1.4149
19.3688495575,1.3203
19.4248967552,1.2389
19.4809439528,1.3302
19.5369911504,1.2925
19.5930383481,1.3326
19.6490855457,1.3101
19.7051327434,1.4262
19.761179941,1.305
19.8172271386,1.2779
19.8732743363,1.295
19.9293215339,1.3044
19.9853687316,1.2317
20.0414159292,1.3176
20.0974631268,1.0541
20.1535103245,1.2184
20.2095575221,1.2226
20.2656047198,1.1514
20.3216519174,0.79606
20.377699115,0.92437
20.4337463127,1.0642
20.4897935103,1.2099
20.545840708,0.92156
20.6018879056,0.99332
20.6579351032,0.81773
20.7139823009,0.84739
20.7700294985,0.76681
20.8260766962,0.86828
20.8821238938,0.97343
20.9381710914,1.0689
20.9942182891,1.117
21.0502654867,1.1062
21.1063126844,1.0941
21.162359882,1.1222
21.2184070796,1.0084
21.2744542773,1.1703
21.3305014749,1.0386
21.3865486726,1.0582
21.4425958702,0.87908
21.4986430678,1.0077
21.5546902655,0.89393
21.6107374631,0.99808
21.6667846608,0.79159
21.7228318584,0.76061
21.778879056,0.72004
21.8349262537,0.88037
21.8909734513,0.78117
21.947020649,0.8625
22.0030678466,0.73065
22.0591150442,0.79127
22.1151622419,0.79433
22.1712094395,0.92068
22.2272566372,0.87532
22.2833038348,0.97989
22.3393510324,0.96073
22.3953982301,1.1444
22.4514454277,1.0568
22.5074926254,1.0782
22.563539823,1.0008
22.6195870206,1.0104
22.6756342183,1.1046
22.7316814159,0.92131
22.7877286136,0.93407
22.8437758112,0.99145
22.8998230088,1.1562
22.9558702065,1.1649
23.0119174041,1.2151
23.0679646018,1.2506
23.1240117994,1.2801
23.1800589971,1.259
23.2361061947,1.3219
23.2921533923,1.2222
23.34820059,1.386
23.4042477876,1.4497
23.4602949853,1.4941
23.5163421829,1.3695
23.5723893805,1.3118
23.6284365782,1.4817
23.6844837758,1.5335
23.7405309735,1.5174
23.7965781711,1.6079
23.8526253687,1.7562
23.9086725664,1.6619
23.964719764,1.6752
24.0207669617,0.6956
24.0768141593,1.6223
24.1328613569,1.8213
24.1889085546,2.0998
24.2449557522,1.6979
24.3010029499,1.7165
24.3570501475,2.2811
24.4130973451,2.8726
24.4691445428,2.8631
24.5251917404,2.8727
24.5812389381,2.7967
24.6372861357,2.5723
24.6933333333,2.5387
24.749380531,2.5674
24.8054277286,2.5598
24.8614749263,2.4362
24.9175221239,2.4517
24.9735693215,2.5714
25.0296165192,2.4576
25.0856637168,2.2621
25.1417109145,2.2753
25.1977581121,2.1361
25.2538053097,2.3231
25.3098525074,2.1098
25.365899705,2.3147
25.4219469027,2.2213
25.4779941003,2.1345
25.5340412979,2.0758
25.5900884956,2.0417
25.6461356932,2.0892
25.7021828909,2.5395
25.7582300885,2.0749
25.8142772861,2.0419
25.8703244838,2.2405
25.9263716814,2.1458
25.9824188791,2.0152
26.0384660767,2.2387
26.0945132743,2.0883
26.150560472,2.2744
26.2066076696,2.3815
26.2626548673,2.3726
26.3187020649,2.5011
26.3747492625,2.5308
26.4307964602,2.5927
26.4868436578,3.2706
26.5428908555,2.7561
26.5989380531,2.8664
26.6549852507,2.7612
26.7110324484,2.746
26.767079646,2.648
26.8231268437,2.6471
26.8791740413,2.5119
26.9352212389,2.4951
26.9912684366,2.7214
27.0473156342,2.5793
27.1033628319,2.548
27.1594100295,2.4556
27.2154572271,2.3498
27.2715044248,2.6375
27.3275516224,2.2538
27.3835988201,2.3638
27.4396460177,2.2308
27.4956932153,2.236
27.551740413,2.0714
27.6077876106,2.0768
27.6638348083,2.0119
27.7198820059,2.052
27.7759292035,1.9848
27.8319764012,1.9136
27.8880235988,1.5774
27.9440707965,1.8037
28.0001179941,1.6537
28.0561651917,1.6448
28.1122123894,1.6438
28.168259587,1.572
28.2243067847,1.7433
28.2803539823,1.5621
28.3364011799,1.704
28.3924483776,1.3769
28.4484955752,1.5761
28.5045427729,1.6305
28.5605899705,1.7061
28.6166371681,1.6545
28.6726843658,1.7182
28.7287315634,1.7592
28.7847787611,1.9234
28.8408259587,1.6205
28.8968731563,1.813
28.952920354,1.8535
29.0089675516,1.9592
29.0650147493,1.9647
29.1210619469,1.888
29.1771091445,1.9058
29.2331563422,1.9499
29.2892035398,1.8729
29.3452507375,1.7975
29.4012979351,1.818
29.4573451327,1.8879
29.5133923304,1.7296
29.569439528,1.819
29.6254867257,1.709
29.6815339233,1.6794
29.7375811209,1.7152
29.7936283186,1.8231
29.8496755162,1.6592
29.9057227139,1.7139
29.9617699115,1.8646
30.0178171091,1.8902
30.0738643068,1.9819
30.1299115044,1.9611
30.1859587021,2.1444
30.2420058997,2.0258
30.2980530973,2.0626
30.354100295,2.1859
30.4101474926,2.2031
30.4661946903,2.1465
30.5222418879,1.9163
30.5782890855,2.1461
30.6343362832,2.3209
30.6903834808,2.2719
30.7464306785,2.4572
30.8024778761,2.498
30.8585250737,2.6434
30.9145722714,2.8335
30.970619469,2.8622
31.0266666667,2.9277
31.0827138643,3.0926
31.1387610619,3.2043
31.1948082596,3.149
31.2508554572,3.2064
31.3069026549,3.6148
31.3629498525,3.2752
31.4189970501,3.3082
31.4750442478,3.3671
31.5310914454,3.1005
31.5871386431,3.2475
31.6431858407,2.9163
31.6992330383,2.4872
31.755280236,2.6865
31.8113274336,2.8433
31.8673746313,2.7331
31.9234218289,2.631
31.9794690265,2.6812
32.0355162242,2.5816
32.0915634218,2.4323
32.1476106195,2.5042
32.2036578171,2.4385
32.2597050147,2.4225
32.3157522124,2.3185
32.37179941,2.2323
32.4278466077,2.2971
32.4838938053,2.1501
32.5399410029,1.9791
32.5959882006,2.1059
32.6520353982,1.9735
32.7080825959,2.1299
32.7641297935,1.9203
32.8201769912,1.8895
32.8762241888,1.9656
32.9322713864,1.6772
32.9883185841,1.8916
33.0443657817,1.7268
33.1004129794,1.675
33.156460177,1.6576
33.2125073746,1.8261
33.2685545723,1.6374
33.3246017699,1.4867
33.3806489676,1.5887
33.4366961652,1.4913
33.4927433628,1.5599
33.5487905605,1.6515
33.6048377581,1.7355
33.6608849558,1.7336
33.7169321534,1.6353
33.772979351,1.961
33.8290265487,1.741
33.8850737463,1.7704
33.941120944,1.6493
33.9971681416,1.6149
34.0532153392,1.9319
34.1092625369,1.8579
34.1653097345,1.5503
34.2213569322,1.4109
34.2774041298,1.4897
34.3334513274,1.4151
34.3894985251,1.4935
34.4455457227,1.3612
34.5015929204,1.4231
34.557640118,1.2979
34.6136873156,1.1283
34.6697345133,1.2399
34.7257817109,1.12
34.7818289086,1.225
34.8378761062,1.2047
34.8939233038,1.5078
34.9499705015,1.2947
35.0060176991,1.5642
35.0620648968,1.5884
35.1181120944,1.5576
35.174159292,1.4604
35.2302064897,1.7171
35.2862536873,1.5332
35.342300885,1.6449
35.3983480826,1.4737
35.4543952802,1.607
35.5104424779,1.45
35.5664896755,1.5156
35.6225368732,1.4789
35.6785840708,1.5008
35.7346312684,1.4496
35.7906784661,1.468
35.8467256637,1.3272
35.9027728614,1.6242
35.958820059,1.3848
36.0148672566,1.3951
36.0709144543,1.3938
36.1269616519,1.4191
36.1830088496,1.6406
36.2390560472,1.4378
36.2951032448,1.5414
36.3511504425,1.6086
36.4071976401,1.6902
36.4632448378,1.6448
36.5192920354,1.6756
36.575339233,1.6741
36.6313864307,1.7389
36.6874336283,1.7658
36.743480826,1.6408
36.7995280236,1.8806
36.8555752212,1.6188
36.9116224189,1.6439
36.9676696165,1.4635
37.0237168142,1.5288
37.0797640118,1.5242
37.1358112094,1.4989
37.1918584071,1.5438
37.2479056047,1.7201
37.3039528024,1.8174
37.36,1.6724
