um,angle
0.0341137123746,2.7973
0.10635451505,2.7814
0.178595317726,2.5974
0.250836120401,2.5262
0.323076923077,2.7067
0.395317725753,2.7771
0.467558528428,2.5436
0.539799331104,2.5594
0.612040133779,2.5809
0.684280936455,2.5417
0.75652173913,2.6143
0.828762541806,2.5069
0.901003344482,2.4507
0.973244147157,2.2354
1.04548494983,2.3231
1.11772575251,2.2944
1.18996655518,2.4197
1.26220735786,2.1048
1.33444816054,2.1057
1.40668896321,2.1182
1.47892976589,2.0002
1.55117056856,2.1655
1.62341137124,2.1404
1.69565217391,2.0166
1.76789297659,2.239
1.84013377926,2.0418
1.91237458194,2.2936
1.98461538462,2.1634
2.05685618729,2.0601
2.12909698997,2.1569
2.20133779264,2.1482
2.27357859532,2.1142
2.34581939799,1.9803
2.41806020067,2.2308
2.49030100334,2.1928
2.56254180602,2.3319
2.6347826087,2.4657
2.70702341137,2.441
2.77926421405,2.4644
2.85150501672,2.4174
2.9237458194,2.1443
2.99598662207,2.498
3.06822742475,2.5423
3.14046822742,2.3152
3.2127090301,2.4971
3.28494983278,2.505
3.35719063545,2.4979
3.42943143813,2.4538
3.5016722408,2.4017
3.57391304348,2.2142
3.64615384615,2.2722
3.71839464883,2.1825
3.79063545151,1.9428
3.86287625418,1.9696
3.93511705686,1.9642
4.00735785953,2.0943
4.07959866221,2.0031
4.15183946488,1.9457
4.22408026756,2.0983
4.29632107023,2.0619
4.36856187291,2.036
4.44080267559,1.933
4.51304347826,2.1006
4.58528428094,1.9964
4.65752508361,2.1465
4.72976588629,2.0167
4.80200668896,1.9824
4.87424749164,1.8671
4.94648829431,1.9459
5.01872909699,1.9649
5.09096989967,1.9452
5.16321070234,2.0497
5.23545150502,1.8817
5.30769230769,1.9003
5.37993311037,1.9331
5.45217391304,1.6627
5.52441471572,1.9361
5.59665551839,1.9075
5.66889632107,1.89
5.74113712375,1.9395
5.81337792642,1.9266
5.8856187291,1.8917
5.95785953177,2.0212
6.03010033445,2.0337
6.10234113712,1.8761
6.1745819398,1.9433
6.24682274247,1.9581
6.31906354515,2.0657
6.39130434783,1.9133
6.4635451505,1.9536
6.53578595318,2.0336
6.60802675585,1.9271
6.68026755853,2.1535
6.7525083612,2.2745
6.82474916388,2.3853
6.89698996656,2.6309
6.96923076923,2.5847
7.04147157191,2.6174
7.11371237458,2.6523
7.18595317726,2.9346
7.25819397993,2.6844
7.33043478261,2.8044
7.40267558528,2.7308
7.47491638796,2.7615
7.54715719064,2.8406
7.61939799331,2.7392
7.69163879599,2.6006
7.76387959866,2.5307
7.83612040134,2.5691
7.90836120401,2.5686
7.98060200669,2.3769
8.05284280936,2.2661
8.12508361204,2.3862
8.19732441472,2.213
8.26956521739,2.1932
8.34180602007,2.2315
8.41404682274,2.2981
8.48628762542,2.2585
8.55852842809,2.1696
8.63076923077,2.1005
8.70301003344,2.0934
8.77525083612,2.0191
8.8474916388,1.8212
8.91973244147,1.8173
8.99197324415,1.7904
9.06421404682,1.5455
9.1364548495,1.4895
9.20869565217,1.4347
9.28093645485,1.1993
9.35317725753,1.1008
9.4254180602,0.99257
9.49765886288,0.98692
9.56989966555,0.80025
9.64214046823,0.88678
9.7143812709,0.79279
9.78662207358,0.7273
9.85886287625,0.62
9.93110367893,0.52366
10.0033444816,0.6146
10.0755852843,0.71831
10.147826087,0.59196
10.2200668896,0.58859
10.2923076923,0.6506
10.364548495,0.72922
10.4367892977,0.7843
10.5090301003,0.79995
10.581270903,0.90222
10.6535117057,0.97742
10.7257525084,1.0561
10.797993311,1.1723
10.8702341137,1.2677
10.9424749164,1.3479
11.0147157191,1.374
11.0869565217,1.4856
11.1591973244,1.3994
11.2314381271,1.5203
11.3036789298,1.445
11.3759197324,1.6424
11.4481605351,1.6025
11.5204013378,1.5998
11.5926421405,1.6317
11.6648829431,1.7102
11.7371237458,1.7251
11.8093645485,1.7111
11.8816053512,1.4166
11.9538461538,1.509
12.0260869565,1.5622
12.0983277592,1.5141
12.1705685619,1.5223
12.2428093645,1.7011
12.3150501672,1.7405
12.3872909699,1.7998
12.4595317726,1.8967
12.5317725753,1.9035
12.6040133779,1.9485
12.6762541806,1.9071
12.7484949833,2.0686
12.820735786,2.0164
12.8929765886,2.1032
12.9652173913,2.0843
13.037458194,2.0268
13.1096989967,2.2317
13.1819397993,1.9984
13.254180602,2.042
13.3264214047,2.0023
13.3986622074,1.9955
13.47090301,2.0999
13.5431438127,2.1196
13.6153846154,2.1844
13.6876254181,2.4009
13.7598662207,2.3803
13.8321070234,2.5864
13.9043478261,2.4411
13.9765886288,2.3674
14.0488294314,2.2352
14.1210702341,2.3304
14.1933110368,2.5132
14.2655518395,2.4765
14.3377926421,2.4881
14.4100334448,2.7983
14.4822742475,2.7546
14.5545150502,2.8984
14.6267558528,2.9075
14.6989966555,3.0223
14.7712374582,3.0534
14.8434782609,3.2381
14.9157190635,3.174
14.9879598662,3.3404
15.0602006689,3.6658
15.1324414716,3.5656
15.2046822742,3.6081
15.2769230769,3.7134
15.3491638796,3.7751
15.4214046823,3.7508
15.4936454849,4.1697
15.5658862876,4.0621
15.6381270903,3.8747
15.710367893,3.994
15.7826086957,4.3044
15.8548494983,4.0648
15.927090301,3.9358
15.9993311037,4.1951
16.0715719064,4.2025
16.143812709,4.3804
16.2160535117,4.4008
16.2882943144,4.2097
16.3605351171,4.256
16.4327759197,4.3014
16.5050167224,4.2269
16.5772575251,4.0502
16.6494983278,4.0852
16.7217391304,4.0241
16.7939799331,3.9257
16.8662207358,3.8574
16.9384615385,3.8358
17.0107023411,3.8266
17.0829431438,3.801
17.1551839465,3.8899
17.2274247492,3.884
17.2996655518,3.7682
17.3719063545,3.8604
17.4441471572,3.7341
17.5163879599,3.7118
17.5886287625,3.6722
17.6608695652,3.607
17.7331103679,3.6829
17.8053511706,3.5738
17.8775919732,3.6125
17.9498327759,3.5715
18.0220735786,3.5002
18.0943143813,3.6451
18.1665551839,3.6323
18.2387959866,3.6797
18.3110367893,3.7997
18.383277592,3.7797
18.4555183946,3.825
18.5277591973,3.7416
18.6,3.8348
